accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
CP047161,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2029 plasmid pKP19-2029-KPC2, complete sequence",Plasmid,pKP19-2029-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,127240,51993,62081,China,female,2019-01-04,blood
CP025458,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP69 plasmid p69-2, complete sequence",Plasmid,p69-2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,128563,106882,116970,China,Homo sapiens,2017-05-17,Not specified
CP082034,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2138 plasmid pKP18-2138-KPC2, complete sequence",Plasmid,pKP18-2138-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,115559,40496,50584,China,Homo sapiens,2018-12-19,blood
OR666707,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL3 plasmid pQL3-KPC, complete sequence",Plasmid,pQL3-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112465,6593,16681,China,Not specified,2021,Clinical specimen
CP146090,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNP886 plasmid pJNP886-3, complete sequence",Plasmid,pJNP886-3,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112466,34546,44634,China,Homo sapiens,2021-09-06,sputum
CP169915,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K58559 plasmid pK58559-KPC, complete sequence",Plasmid,pK58559-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,121138,70524,80612,China,Homo sapiens,2023,Secretion
CP073303,Klebsiella pneumoniae,"Klebsiella pneumoniae strain SW1780 plasmid pSW1780-KPC, complete sequence",Plasmid,pSW1780-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,125619,47759,57847,China,Homo sapiens,2019,Not specified
CP169936,Klebsiella pneumoniae,"Klebsiella pneumoniae strain K68336 plasmid pK68336-KPC, complete sequence",Plasmid,pK68336-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,115562,40314,50402,China,Homo sapiens,2024,BALF
MT648513,Klebsiella pneumoniae,"Klebsiella pneumoniae strain EBSI036 plasmid pEBSI036-2-KPC, complete sequence",Plasmid,pEBSI036-2-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,129869,52010,62098,Egypt,Homo sapiens,Not specified,blood
CP045264,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 16HN-263 plasmid p16HN-263_KPC, complete sequence",Plasmid,p16HN-263_KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,129252,52010,62098,China,Homo sapiens,2016,blood
CP082003,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-1 plasmid pKP18-1-KPC2, complete sequence",Plasmid,pKP18-1-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,153399,8447,18535,China,Homo sapiens,2018-06-07,blood
CP082039,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2172 plasmid pKP18-2172-KPC2, complete sequence",Plasmid,pKP18-2172-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,160747,8447,18535,China,Homo sapiens,2018-12-24,blood
MT269846,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI073 plasmid pBSI073-KPC2,Plasmid,pBSI073-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,118923,64513,74601,China,Homo sapiens,2018,blood
CP192284,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPZ2-R1 plasmid p-unmaned1, complete sequence",Plasmid,p-unmaned1,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,129466,100969,90881,United Kingdom,Homo sapiens,2025-05,human
CP028796,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WCHKP040035 plasmid pKPC2_040035, complete sequence",Plasmid,pKPC2_040035,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112467,49914,60002,China,Homo sapiens,2017-06-15,Not specified
MZ709016,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNKPN52 plasmid pJNKPN52_kpc_fosA, complete sequence",Plasmid,pJNKPN52_kpc_fosA,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,127668,52016,62104,China,Not specified,Not specified,sputum
MZ512197,Klebsiella pneumoniae,Klebsiella pneumoniae strain JNKPN52 plasmid pJNKPN52_KPC_FOS,Plasmid,pJNKPN52_KPC_FOS,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,279300,252011,262099,China,Not specified,Not specified,sputum
CP144513,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNP888 plasmid pJNP888-3, complete sequence",Plasmid,pJNP888-3,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112459,14778,24866,China,Homo sapiens,2021-10-24,sputum
OR666719,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL8 plasmid pQL8-KPC, complete sequence",Plasmid,pQL8-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112462,6590,16678,China,Not specified,2021,Clinical specimen
CP082025,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2073 plasmid pKP18-2073-KPC2, complete sequence",Plasmid,pKP18-2073-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,130597,51058,61146,China,Homo sapiens,2018-11-15,blood
OR666722,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL7 plasmid pQL7-KPC, complete sequence",Plasmid,pQL7-KPC,Not specified,Not specified,Not specified,99.99,100.0,10090,1,1,0.0,18626.4,112466,6592,16681,China,Not specified,2021,Clinical specimen
LC423559,Klebsiella pneumoniae,"Klebsiella pneumoniae NCCHD 1261-1 DNA, genomic structure surrounding blaKPC-2 gene",Chromosome,,Not specified,Not specified,Not specified,99.99,100.0,10089,1,0,0.0,18626.4,10089,1,10089,Japan,Homo sapiens,Not specified,rectal swab
OR666709,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL2 plasmid pQL2-KPC, complete sequence",Plasmid,pQL2-KPC,Not specified,Not specified,Not specified,99.99,100.0,10090,1,1,0.0,18626.4,112462,6589,16678,China,Not specified,2021,Clinical specimen
OR666716,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL6 plasmid pQL6-KPC, complete sequence",Plasmid,pQL6-KPC,Not specified,Not specified,Not specified,99.99,100.0,10090,1,1,0.0,18626.4,112463,99132,89043,China,Not specified,2021,Clinical specimen
CP082015,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-238 plasmid pKP18-238-KPC2, complete sequence",Plasmid,pKP18-238-KPC2,Not specified,Not specified,Not specified,99.98,100.0,10090,2,2,0.0,18620.9,128480,72715,82803,China,Homo sapiens,2018-10-04,blood
OR666725,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL1 plasmid pQL1-KPC, complete sequence",Plasmid,pQL1-KPC,Not specified,Not specified,Not specified,99.9,100.0,10092,10,9,0.0,18572.9,112440,34526,44611,China,Not specified,2021,Clinical specimen
CP114972,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2111KP plasmid p2111KP-2, complete sequence",Plasmid,p2111KP-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134993,76926,67594,China,Homo sapiens,2021-12-25,patient
CP054722,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP20194f plasmid pKP20194f-p2, complete sequence",Plasmid,pKP20194f-p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Not specified,2019-04-27,telephone of Nurse station
CP152441,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JXHV-KP12 plasmid p12-2, complete sequence",Plasmid,p12-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,116361,49264,39932,China,Homo sapiens,2020,sputum
MZ475702,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JS187-vir plasmid unnamed3, partial sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,110080,22475,13143,China,Not specified,15-Dec-2020,transconjugant
KX236178,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid pHS091147, complete sequence",Plasmid,pHS091147,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,121348,106148,96816,China,Not specified,20-Feb-2009,sputum
KC405622,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid pKPC-LK30, complete sequence",Plasmid,pKPC-LK30,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,86518,68744,59412,Not specified,Not specified,Not specified,Not specified
OP351671,Klebsiella pneumoniae,"Klebsiella pneumoniae strain AY1024 plasmid p1024KPC2, complete sequence",Plasmid,p1024KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,65438,39772,49104,China,Homo sapiens,Not specified,urine
CP128067,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2014N21-073 plasmid p2014N21-073-1, complete sequence",Plasmid,p2014N21-073-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,98935,21614,12282,Taiwan,Homo sapiens,2014,urine
CP136269,Klebsiella pneumoniae,"Klebsiella pneumoniae strain L2425 plasmid pL2425-KPC-2, complete sequence",Plasmid,pL2425-KPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133771,55955,46623,China,Homo sapiens,2020-07-30,feces
CP172829,Klebsiella pneumoniae,"Klebsiella pneumoniae strain WYKP3 plasmid pWYKP3-2, complete sequence",Plasmid,pWYKP3-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,95973,31639,22307,China,Homo sapiens,2019-07-30,Not specified
CP130221,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2016C06-001 plasmid p2016C06-001-53k, complete sequence",Plasmid,p2016C06-001-53k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,53238,34941,44273,Taiwan,Homo sapiens,2016,Not specified
MZ475694,Klebsiella pneumoniae,"Klebsiella pneumoniae strain HS11286-vir2 plasmid unnamed2, partial sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,99645,37165,46497,China,Not specified,15-Dec-2020,transconjugant
MN842292,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 12085 plasmid p12085-KPC, complete sequence",Plasmid,p12085-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,142041,104348,113680,China,Not specified,Not specified,Beijing
CP047680,Serratia marcescens,"Serratia marcescens strain 4201 plasmid p4201-KPC, complete sequence",Plasmid,p4201-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94056,18912,28244,China,Homo sapiens,27-Feb-2019,sputum
CP199521,Enterobacter asburiae,"Enterobacter asburiae strain x220589 plasmid px220589_P4, complete sequence",Plasmid,px220589_P4,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,61833,23239,32571,China,Homo sapiens,2024-10-23,sputum
OR041628,Escherichia coli,"Escherichia coli strain J-JNKPN26-3 plasmid pJ-JNKPN26-3_HNK, complete sequence",Plasmid,pJ-JNKPN26-3_HNK,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,270443,137715,128383,China,Not specified,Not specified,Klebsiella pneumoniae
OP351670,Klebsiella pneumoniae,Klebsiella pneumoniae strain AY1012 plasmid p1012KPC2,Plasmid,p1012KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,84975,61744,71076,China,Homo sapiens,Not specified,urine
MT644086,Klebsiella pneumoniae,"Klebsiella pneumoniae strain C2244 plasmid pCRHV-C2244, complete sequence",Plasmid,pCRHV-C2244,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,293391,55953,46621,Not specified,Homo sapiens,Not specified,Not specified
MT269826,Klebsiella pneumoniae,Klebsiella pneumoniae strain BSI030 plasmid pBSI030-KPC2,Plasmid,pBSI030-KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,93952,18910,28242,China,Homo sapiens,2017,blood
CP142693,Klebsiella pneumoniae,"Klebsiella pneumoniae strain hv-CRKP plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134670,55955,46623,China,Not specified,Not specified,Shanghai
CP171819,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JX-CRKP-K30 plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,142620,64196,54864,China,Homo sapiens,2024,Not specified
CP107374,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_40 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134594,11277,20609,China,Homo sapiens,2018-12-04,sputum
CP182921,Klebsiella pneumoniae,"Klebsiella pneumoniae strain FAHZZU6216 plasmid pFAHZZU6216-2, complete sequence",Plasmid,pFAHZZU6216-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Homo sapiens,2022,secretion
CP101782,Klebsiella pneumoniae,"Klebsiella pneumoniae strain hvKP340 plasmid unnamed6, complete sequence",Plasmid,unnamed6,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,111949,55955,46623,China,Homo sapiens,2022-04-16T16:25:10Z,sputum
CP167477,Klebsiella pneumoniae,"Klebsiella pneumoniae strain GDFK0392 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133376,4324,13656,China,Homo sapiens,2019,Not specified
MF168402,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 1068 plasmid p1068-KPC, complete sequence",Plasmid,p1068-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146103,83456,74124,China,Not specified,Not specified,Not specified
CP087640,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD02391 plasmid pDD02391-1, complete sequence",Plasmid,pDD02391-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,Homo sapiens,2017-12-01,Not specified
CP139374,Klebsiella aerogenes,"Klebsiella aerogenes strain C51857 plasmid pC21992-KPC_160k, complete sequence",Plasmid,pC21992-KPC_160k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,104335,18178,27510,China,Homo sapiens,2018-01-10,sputum
CP107385,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP_29 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134592,11277,20609,China,Homo sapiens,2018-12-04,sputum
CP084707,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP1064WHY plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,131273,100882,91550,China,Homo sapiens,2019-07-08,blood
CP180540,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP5918 plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,109206,30006,20674,Not specified,Homo sapiens,2018-06-03,lower respiratory tract specimen
OR041627,Escherichia coli,"Escherichia coli strain J-JNKPN26-2 plasmid pJ-JNKPN26-2_HNK, complete sequence",Plasmid,pJ-JNKPN26-2_HNK,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,270446,240043,249375,China,Not specified,Not specified,Klebsiella pneumoniae
CP066251,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRKP52R plasmid p3, complete sequence",Plasmid,p3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,122076,44259,34927,China,Homo sapiens,05-May-2018,sputum
MZ475698,Escherichia coli,"Escherichia coli strain J53-vir plasmid unnamed2, partial sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,114278,113540,104208,China,Not specified,15-Dec-2020,transconjugant
MT108209,Klebsiella pneumoniae,"Klebsiella pneumoniae strain BJ108 plasmid pBJ108-KPC, complete sequence",Plasmid,pBJ108-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,68255,26220,16888,China,Not specified,Not specified,Beijing
CP154492,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp337 plasmid p337-2, complete sequence",Plasmid,p337-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,138913,133667,124335,China,Homo sapiens,2021,urine
CP091332,Klebsiella pneumoniae,"Klebsiella pneumoniae strain CRK3022 plasmid pCRK3022-2, complete sequence",Plasmid,pCRK3022-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,123020,69601,78933,China,Homo sapiens,2018-09-10,Not specified
CP129833,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N17-097 plasmid p2020N17-097-79k, complete sequence",Plasmid,p2020N17-097-79k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,79275,66054,75386,Taiwan,Homo sapiens,2020,Not specified
CP047689,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain DD02357 plasmid pKPC-DD02357, complete sequence",Plasmid,pKPC-DD02357,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,103167,18944,28276,China,Homo sapiens,05-Sep-2018,body fluid
CP130265,Klebsiella pneumoniae,"Klebsiella pneumoniae strain DX3-2hy plasmid pKPC-2, complete sequence",Plasmid,pKPC-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,55955,46623,China,elephant,2019-12-09,feces
CP095242,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 21080237 plasmid p21080237_2, complete sequence",Plasmid,p21080237_2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,129649,51833,42501,China,Homo,2021-08,Diversion fluid
MT810372,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 40 plasmid pTZ40-KPC, complete sequence",Plasmid,pTZ40-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,124760,66693,57361,China,Not specified,Not specified,Taizhou
CP139389,Klebsiella aerogenes,"Klebsiella aerogenes strain C91664 plasmid pC91664-KPC_105k, complete sequence",Plasmid,pC91664-KPC_105k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,105069,18912,28244,China,Homo sapiens,2016-09-27,blood
CP133447,Klebsiella pneumoniae,"Klebsiella pneumoniae strain AR3365-Yvys plasmid pAR3365_KPC2, complete sequence",Plasmid,pAR3365_KPC2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,106078,19740,29072,China,Hono sapiens,2020-06-09,sputum
CP127983,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 2020N07-152 plasmid p2020N07-152-2, complete sequence",Plasmid,p2020N07-152-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,115138,2174,11506,Taiwan,Homo sapiens,2020,respiratory
CP193996,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP36 plasmid plasB_KP36, complete sequence",Plasmid,plasB_KP36,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,149993,88870,79538,China,Homo sapiens,2023-02-13,Not specified
CP090464,Klebsiella pneumoniae,"Klebsiella pneumoniae strain kp5152 plasmid p2, complete sequence",Plasmid,p2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,134477,63065,72397,China,Homo sapiens,2020-01,urine
CP163278,Klebsiella pneumoniae,"Klebsiella pneumoniae strain NC20 plasmid pNC20-1, complete sequence",Plasmid,pNC20-1,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,136068,54604,63936,China,Homo sapiens,2021,ascites
CP139415,Klebsiella aerogenes,"Klebsiella aerogenes strain C272187 plasmid pC272187-KPC_94k, complete sequence",Plasmid,pC272187-KPC_94k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,94042,18920,28252,China,Homo sapiens,2021-09-27,swab
CP061960,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IR5726 plasmid unnamed3, complete sequence",Plasmid,unnamed3,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,144349,102026,111358,China,Homo sapiens,2017-08-09,sputum
CP047692,Serratia marcescens,"Serratia marcescens strain C110 plasmid pC110-KPC, complete sequence",Plasmid,pC110-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,103167,18944,28276,China,Homo sapiens,16-Jun-2018,sputum
CP102188,Klebsiella pneumoniae,"Klebsiella pneumoniae strain S234 plasmid pS234-2, complete sequence",Plasmid,pS234-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,146760,93035,83703,China,Homo sapiens,2017-11-16,Not specified
CP017086,Proteus mirabilis,"Proteus mirabilis strain T18 plasmid pT18, complete sequence",Plasmid,pT18,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,59035,320,9652,China,Homo sapiens,2014,urine
CP154420,Klebsiella pneumoniae,"Klebsiella pneumoniae strain Kp241 plasmid p241-2, complete sequence",Plasmid,p241-2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,147613,37929,47261,China,Homo sapiens,2021,sputum
CP130235,Klebsiella pneumoniae,Klebsiella pneumoniae strain 2016C06-172 plasmid p2016C06-172-108k,Plasmid,p2016C06-172-108k,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,108259,82859,92191,Taiwan,Homo sapiens,2016,Not specified
CP089447,Escherichia coli,"Escherichia coli strain 5-1 plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,125150,44299,53631,China,Human body fluids,2021-01-11,Not specified
MN182746,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 16ZR-187 plasmid p16ZR-187-IncFII-133-CR, complete sequence",Plasmid,p16ZR-187-IncFII-133-CR,IncFII,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,133772,56211,46879,Not specified,Homo sapiens,Not specified,Not specified
MN823984,Serratia marcescens,"Serratia marcescens strain 201315732 plasmid p15732-KPC, complete sequence",Plasmid,p15732-KPC,Not specified,Not specified,Not specified,100.0,92.51,9333,0,0,0.0,17235.9,107763,63222,53890,China,Not specified,Not specified,Anhui
