accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,160563,8262,18350
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.87,7.55,762,1,0,0.0,1402.73,160563,122861,122100
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,160563,57751,56994
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.87,7.55,762,1,1,0.0,1400.88,160563,79249,78489
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,160563,82521,81764
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,160563,122100,122857
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,9018,8262
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,18350,17594
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,160563,48576,49335
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,49335,48579
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,54786,55542
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,55542,54786
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,56994,57750
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,63886,64642
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,64642,63886
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,73649,74405
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,74405,73649
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,78493,79249
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,160563,81344,80585
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,80588,81344
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,81765,82521
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,160563,113989,113230
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,113233,113989
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,114751,115507
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,160563,115507,114751
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.6,7.5,757,3,0,0.0,1382.41,160563,108669,109425
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,99.6,7.5,757,3,0,0.0,1382.41,160563,109425,108669
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,96.65,4.74,478,16,0,0.0,795.18,160563,112249,111772
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,98.79,1.64,165,2,0,2.05119e-73,294.738,160563,111778,111614
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,96.3,1.34,135,5,0,9.81719e-52,222.718,160563,14583,14717
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,96.3,1.34,135,5,0,9.81719e-52,222.718,160563,14663,14797
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,120647,108215,98127
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,27610,28366
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,28366,27610
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,39019,39775
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,39775,39019
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,81501,82257
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,82257,81501
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,99.87,7.53,761,1,1,0.0,1399.03,120647,93374,92614
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,120647,92615,93374
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,98127,98883
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,107459,108215
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,114821,115577
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,120647,115577,114821
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,99.74,7.51,758,2,0,0.0,1389.8,120647,26036,26793
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,99.74,7.5,757,2,0,0.0,1387.95,120647,26792,26036
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.08,714,0,0,0.0,1319.63,120647,45479,46192
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,7.07,713,0,0,0.0,1317.78,120647,46192,45480
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,6.57,663,0,0,0.0,1225.45,120647,29705,30367
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,6.57,663,0,0,0.0,1225.45,120647,30367,29705
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,96.97,1.31,132,4,0,9.81719e-52,222.718,120647,101808,101677
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,96.97,1.31,132,4,0,9.81719e-52,222.718,120647,101888,101757
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,167277,8262,18350
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,99.87,7.55,762,1,0,0.0,1402.73,167277,129979,129218
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,167277,55542,54785
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,99.87,7.55,762,1,1,0.0,1400.88,167277,77040,76280
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,167277,80312,79555
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,167277,129218,129975
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,9018,8262
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,18350,17594
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,167277,48575,49334
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,49334,48578
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,54785,55541
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,61677,62433
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,62433,61677
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,71440,72196
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,72196,71440
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,76284,77040
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,167277,79135,78376
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,78379,79135
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,79556,80312
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,111856,112612
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,112612,111856
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,122350,123106
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,123106,122350
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,167277,128456,127697
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,167277,127700,128456
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,96.65,4.74,478,16,0,0.0,795.18,167277,126716,126239
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,98.79,1.64,165,2,0,2.05119e-73,294.738,167277,126245,126081
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,96.3,1.34,135,5,0,9.81719e-52,222.718,167277,14583,14717
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,96.3,1.34,135,5,0,9.81719e-52,222.718,167277,14663,14797
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,135837,59359,69447
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,99.87,7.55,762,1,1,0.0,1400.88,135837,9993,9233
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,135837,124332,123575
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,4393,5149
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,5149,4393
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,9237,9993
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,99.87,7.53,760,1,0,0.0,1399.03,135837,12088,11329
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,11332,12088
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,13199,13955
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,13955,13199
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,44661,45417
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,135837,45417,44661
