Sample,Gene,Product,Contig,Contig_Size,Location,Start,Stop,Strand,Type,DB_Xrefs
JKPB244,,Ribosomal RNA small subunit methyltransferase D,contig_1,0,Small replicon (~0kb),313235,313831,-,cds,"SO:0001217, UniRef:UniRef50_A0A853IHG4"
JKPB244,aaaT,L-amino acid N-acetyltransferase AaaT,contig_1,0,Small replicon (~0kb),338431,338919,-,cds,"SO:0001217, UniRef:UniRef50_P46854"
JKPB244,feoC,putative [Fe-S]-dependent transcriptional repressor FeoC,contig_1,0,Small replicon (~0kb),373132,373371,-,cds,"SO:0001217, UniRef:UniRef50_P64638"
JKPB244,kefG,Glutathione-regulated potassium-efflux system ancillary protein KefG,contig_1,0,Small replicon (~0kb),420144,420704,+,cds,"SO:0001217, UniRef:UniRef50_Q8ZJC5"
JKPB244,kefB,Glutathione-regulated potassium-efflux system protein KefB,contig_1,0,Small replicon (~0kb),420691,422496,+,cds,"SO:0001217, UniRef:UniRef50_P45522"
JKPB244,,Leader peptidase/prepilin peptidase/N-methyltransferase,contig_1,0,Small replicon (~0kb),432089,432610,-,cds,"SO:0001217, UniRef:UniRef50_A0A1B7K741"
JKPB244,,Ribosomal RNA small subunit methyltransferase B,contig_1,0,Small replicon (~0kb),449736,451031,-,cds,"SO:0001217, UniRef:UniRef50_P36929"
JKPB244,,Efflux pump membrane transporter,contig_1,0,Small replicon (~0kb),463315,466425,-,cds,"SO:0001217, UniRef:UniRef50_A0A346ACE5"
JKPB244,,Acriflavine resistance protein A,contig_1,0,Small replicon (~0kb),466438,467577,-,cds,"SO:0001217, UniRef:UniRef50_A0A485CNK6"
JKPB244,,Ribosomal protein L11 methyltransferase,contig_1,0,Small replicon (~0kb),486333,487214,-,cds,"SO:0001217, UniRef:UniRef50_P0A8T1"
JKPB244,msrQ,protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,contig_1,0,Small replicon (~0kb),491546,492154,-,cds,"BlastRules:WP_001241496, SO:0001217, UniRef:UniRef50_Q8ZAX0"
JKPB244,msrP,Protein-methionine-sulfoxide reductase catalytic subunit MsrP,contig_1,0,Small replicon (~0kb),492154,493155,-,cds,"SO:0001217, UniRef:UniRef50_P76342"
JKPB244,aaeA,p-hydroxybenzoic acid efflux pump subunit AaeA,contig_1,0,Small replicon (~0kb),507233,508165,+,cds,"SO:0001217, UniRef:UniRef50_P46482"
JKPB244,aaeB,p-hydroxybenzoic acid efflux pump subunit AaeB,contig_1,0,Small replicon (~0kb),508171,510138,+,cds,"SO:0001217, UniRef:UniRef50_P46481"
JKPB244,,Ribosomal RNA large subunit methyltransferase E,contig_1,0,Small replicon (~0kb),557075,557704,+,cds,"SO:0001217, UniRef:UniRef50_Q8ZBB5"
JKPB244,rimP,Ribosome maturation factor RimP,contig_1,0,Small replicon (~0kb),566881,567333,+,cds,"SO:0001217, UniRef:UniRef50_Q6D9A7"
JKPB244,,Polyribonucleotide nucleotidyltransferase,contig_1,0,Small replicon (~0kb),573672,575807,+,cds,"SO:0001217, UniRef:UniRef50_K2JUI4"
JKPB244,yhbS,Uncharacterized N-acetyltransferase YhbS,contig_1,0,Small replicon (~0kb),584113,584616,+,cds,"SO:0001217, UniRef:UniRef50_P63417"
JKPB244,,Ribosomal RNA small subunit methyltransferase I,contig_1,0,Small replicon (~0kb),591624,592487,+,cds,"SO:0001217, UniRef:UniRef50_A8G181"
JKPB244,,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2 family protein",contig_1,0,Small replicon (~0kb),597203,597670,-,cds,"SO:0001217, UniRef:UniRef50_F5NWV6"
JKPB244,,Ribosomal RNA large subunit methyltransferase G,contig_1,0,Small replicon (~0kb),632841,633971,+,cds,"SO:0001217, UniRef:UniRef50_A0A1B7KZM7"
JKPB244,dhaM,"PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM",contig_1,0,Small replicon (~0kb),649956,651377,-,cds,"SO:0001217, UniRef:UniRef50_P37349"
JKPB244,dhaL,"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL",contig_1,0,Small replicon (~0kb),651388,652020,-,cds,"SO:0001217, UniRef:UniRef50_P76014"
JKPB244,dhaK,"PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK",contig_1,0,Small replicon (~0kb),652031,653101,-,cds,"SO:0001217, UniRef:UniRef50_P76015"
JKPB244,dhaR,PTS-dependent dihydroxyacetone kinase operon transcriptional regulator DhaR,contig_1,0,Small replicon (~0kb),654911,656836,+,cds,"SO:0001217, UniRef:UniRef50_A0A1B7L0M3"
JKPB244,dhaT,"1,3-propanediol dehydrogenase",contig_1,0,Small replicon (~0kb),657719,658882,-,cds,"BlastRules:WP_004150927, BlastRules:WP_016157511, EC:1.1.1.202, SO:0001217, UniRef:UniRef50_A0A377YXM5"
JKPB244,,Acid-resistance membrane protein,contig_1,0,Small replicon (~0kb),665515,666090,-,cds,"SO:0001217, UniRef:UniRef50_A0A9P3P6K7"
JKPB244,tolC,Outer membrane protein TolC,contig_1,0,Small replicon (~0kb),701382,702851,-,cds,"SO:0001217, UniRef:UniRef50_P02930"
JKPB244,,N-acetyltransferase domain-containing protein,contig_1,0,Small replicon (~0kb),719276,719803,+,cds,"SO:0001217, UniRef:UniRef50_A0A0H3GVP1"
JKPB244,traM,TraD/TraG TraM recognition site domain-containing protein,contig_1,0,Small replicon (~0kb),763810,765909,+,cds,"SO:0001217, UniRef:UniRef50_E5B1Q3"
JKPB244,,tRNA (guanine-N(7)-)-methyltransferase,contig_1,0,Small replicon (~0kb),810149,810868,+,cds,"SO:0001217, UniRef:UniRef50_Q2NRB6"
JKPB244,hemW,Heme chaperone HemW,contig_1,0,Small replicon (~0kb),812005,813141,-,cds,"SO:0001217, UniRef:UniRef50_A0A523M839"
JKPB244,,Ribosomal RNA small subunit methyltransferase E,contig_1,0,Small replicon (~0kb),819492,820223,-,cds,"SO:0001217, UniRef:UniRef50_A0A2X3FA23"
JKPB244,,Aminomethyltransferase,contig_1,0,Small replicon (~0kb),864778,865872,+,cds,"SO:0001217, UniRef:UniRef50_A6TDR7"
JKPB244,,Copper resistance protein,contig_1,0,Small replicon (~0kb),873458,873817,-,cds,"SO:0001217, UniRef:UniRef50_A0A4U9VX74"
JKPB244,mdtP,MdtP family multidrug efflux transporter outer membrane subunit,contig_1,0,Small replicon (~0kb),900691,902139,-,cds,"SO:0001217, UniRef:UniRef50_A0A4S7X6E3"
JKPB244,,Tripartite multidrug resistance system membrane fusion protein,contig_1,0,Small replicon (~0kb),902136,904061,-,cds,"SO:0001217, UniRef:UniRef50_A0A7H4M6L9"
JKPB244,mdtN,Multidrug resistance protein MdtN,contig_1,0,Small replicon (~0kb),904074,905099,-,cds,"SO:0001217, UniRef:UniRef50_P32716"
JKPB244,,Nickel/cobalt efflux system,contig_1,0,Small replicon (~0kb),917503,918459,+,cds,"SO:0001217, UniRef:UniRef50_A0A1W6B9C8"
JKPB244,marR,MarR family transcriptional regulator,contig_1,0,Small replicon (~0kb),918456,918962,-,cds,"SO:0001217, UniRef:UniRef50_A0A964UUN5"
JKPB244,,Chlorhexidine efflux transporter domain-containing protein,contig_1,0,Small replicon (~0kb),931411,931872,-,cds,"SO:0001217, UniRef:UniRef50_S5MZU1"
JKPB244,,Acetyl-CoA acetyltransferase,contig_1,0,Small replicon (~0kb),932963,934141,+,cds,"SO:0001217, UniRef:UniRef50_P14611"
JKPB244,,GNAT family N-acetyltransferase,contig_1,0,Small replicon (~0kb),957869,958348,+,cds,"SO:0001217, UniRef:UniRef50_A0A1X1BVJ9"
JKPB244,,Phosphoenolpyruvate-dependent phosphotransferase system,contig_1,0,Small replicon (~0kb),967696,969942,+,cds,"SO:0001217, UniRef:UniRef50_P37177"
JKPB244,,Amino-acid acetyltransferase,contig_1,0,Small replicon (~0kb),986245,987576,-,cds,"SO:0001217, UniRef:UniRef50_P0A6C5"
JKPB244,,Cobalt-precorrin-5B C(1)-methyltransferase,contig_1,0,Small replicon (~0kb),1012898,1014037,+,cds,"SO:0001217, UniRef:UniRef50_Q05628"
JKPB244,,Cobalt-precorrin-7 C(5)-methyltransferase,contig_1,0,Small replicon (~0kb),1014031,1014636,+,cds,"SO:0001217, UniRef:UniRef50_P0A2H1"
JKPB244,,Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating),contig_1,0,Small replicon (~0kb),1014626,1015195,+,cds,"SO:0001217, UniRef:UniRef50_Q05632"
JKPB244,,Cobalt-precorrin-4 C(11)-methyltransferase,contig_1,0,Small replicon (~0kb),1015188,1015961,+,cds,"SO:0001217, UniRef:UniRef50_P0A2G9"
JKPB244,,Precorrin-3B C(17)-methyltransferase,contig_1,0,Small replicon (~0kb),1016997,1017722,+,cds,"SO:0001217, UniRef:UniRef50_A0A0Z8M1W7"
JKPB244,,Cobalt-precorrin-2 C(20)-methyltransferase,contig_1,0,Small replicon (~0kb),1019306,1020016,+,cds,"SO:0001217, UniRef:UniRef50_A0A379T931"
JKPB244,,Ribosomal RNA large subunit methyltransferase M,contig_1,0,Small replicon (~0kb),1032079,1033179,+,cds,"SO:0001217, UniRef:UniRef50_P0ADR6"
JKPB244,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,contig_1,0,Small replicon (~0kb),1072384,1073688,+,cds,"SO:0001217, UniRef:UniRef50_P55135"
JKPB244,,Protein-L-isoaspartate O-methyltransferase,contig_1,0,Small replicon (~0kb),1097192,1097818,+,cds,"SO:0001217, UniRef:UniRef50_P0A7A5"
JKPB244,hmuV,Hemin import ATP-binding protein HmuV,contig_1,0,Small replicon (~0kb),1110709,1111488,-,cds,"SO:0001217, UniRef:UniRef50_A0A6N3G310"
JKPB244,hmuU,Hemin transport system permease HmuU,contig_1,0,Small replicon (~0kb),1111481,1112476,-,cds,"SO:0001217, UniRef:UniRef50_A0A0J1LP30"
JKPB244,hmuS,Hemin transport protein HmuS,contig_1,0,Small replicon (~0kb),1113291,1114322,-,cds,"SO:0001217, UniRef:UniRef50_Q56990"
JKPB244,sitC,iron/manganese ABC transporter permease subunit SitC,contig_1,0,Small replicon (~0kb),1122388,1123236,-,cds,"BlastRules:WP_001101723, BlastRules:WP_001104336, SO:0001217, UniRef:UniRef50_Q56954"
JKPB244,sitB,"Manganese ABC transporter, ATP-binding protein SitB",contig_1,0,Small replicon (~0kb),1123233,1124054,-,cds,"SO:0001217, UniRef:UniRef50_A0A377ZD83"
JKPB244,,"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIA component",contig_1,0,Small replicon (~0kb),1127131,1127445,-,cds,"SO:0001217, UniRef:UniRef50_A0A1R4B278"
JKPB244,,Oligo-beta-mannoside-specific phosphotransferase enzyme IIB component,contig_1,0,Small replicon (~0kb),1128801,1129115,-,cds,"SO:0001217, UniRef:UniRef50_A0A443VQZ3"
JKPB244,,Nickel/cobalt efflux system,contig_1,0,Small replicon (~0kb),1157373,1158386,+,cds,"SO:0001217, UniRef:UniRef50_A0A8T6QIH9"
JKPB244,emrB,Multidrug export protein EmrB,contig_1,0,Small replicon (~0kb),1185577,1187115,-,cds,"SO:0001217, UniRef:UniRef50_P0AEJ0"
JKPB244,emrA,Multidrug export protein EmrA,contig_1,0,Small replicon (~0kb),1187131,1188303,-,cds,"SO:0001217, UniRef:UniRef50_P27303"
JKPB244,marR,Multiple antibiotic resistance protein marR,contig_1,0,Small replicon (~0kb),1188429,1188959,-,cds,"SO:0001217, UniRef:UniRef50_A0A1T4N4P6"
JKPB244,oqxB,multidrug efflux RND transporter permease subunit OqxB,contig_1,0,Small replicon (~0kb),1233229,1236381,-,cds,"NCBIProtein:WP_000347934.1, SO:0001217, UniRef:UniRef50_A0AAN1X327"
JKPB244,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,contig_1,0,Small replicon (~0kb),1236405,1237580,-,cds,"NCBIProtein:WP_002914189.1, SO:0001217, UniRef:UniRef50_A0A261V1B2"
JKPB244,,Site-specific DNA-methyltransferase (adenine-specific),contig_1,0,Small replicon (~0kb),1243641,1244492,+,cds,"SO:0001217, UniRef:UniRef50_A0A380PNN7"
JKPB244,,tRNA (guanine-N(1)-)-methyltransferase,contig_1,0,Small replicon (~0kb),1287419,1288186,+,cds,"SO:0001217, UniRef:UniRef50_P43912"
JKPB244,pat,protein lysine acetyltransferase,contig_1,0,Small replicon (~0kb),1312694,1315345,-,cds,"BlastRules:WP_000082639, SO:0001217, UniRef:UniRef50_P76594"
JKPB244,yfiF,Uncharacterized tRNA/rRNA methyltransferase YfiF,contig_1,0,Small replicon (~0kb),1316777,1317862,+,cds,"SO:0001217, UniRef:UniRef50_P0AGJ5"
JKPB244,,tRNA1(Val) (adenine(37)-N6)-methyltransferase,contig_1,0,Small replicon (~0kb),1320815,1321552,+,cds,"SO:0001217, UniRef:UniRef50_C6CNL2"
JKPB244,,DNA methyltransferase,contig_1,0,Small replicon (~0kb),1346658,1347302,+,cds,"SO:0001217, UniRef:UniRef50_A0A140NPV0"
JKPB244,,Serine hydroxymethyltransferase,contig_1,0,Small replicon (~0kb),1390955,1392208,+,cds,"SO:0001217, UniRef:UniRef50_U2ASI2"
JKPB244,,Nickel/cobalt efflux system,contig_1,0,Small replicon (~0kb),1402930,1403910,+,cds,"SO:0001217, UniRef:UniRef50_S5MYT3"
JKPB244,trmJ,tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ,contig_1,0,Small replicon (~0kb),1405817,1406551,+,cds,"SO:0001217, UniRef:UniRef50_A0A0H2ZF87"
JKPB244,rlmN,Dual-specificity RNA methyltransferase RlmN,contig_1,0,Small replicon (~0kb),1425204,1426370,+,cds,"SO:0001217, UniRef:UniRef50_P36979"
JKPB244,perC,PerC family transcriptional regulator,contig_1,0,Small replicon (~0kb),1442089,1442382,-,cds,"SO:0001217, UniRef:UniRef50_V5U0H1"
JKPB244,perM,Putative permease PerM,contig_1,0,Small replicon (~0kb),1505560,1506621,+,cds,"SO:0001217, UniRef:UniRef50_P0AFI9"
JKPB244,tmcA,tRNA(Met) cytidine acetyltransferase TmcA,contig_1,0,Small replicon (~0kb),1511740,1513743,+,cds,"SO:0001217, UniRef:UniRef50_A0A2X4T593"
JKPB244,,Efflux pump membrane transporter,contig_1,0,Small replicon (~0kb),1516831,1519944,-,cds,"SO:0001217, UniRef:UniRef50_A0A510IXH6"
JKPB244,,Acetyltransferase EBL_c10900,contig_1,0,Small replicon (~0kb),1546719,1547144,+,cds,"SO:0001217, UniRef:UniRef50_I2B6P6"
JKPB244,,Phosphoenolpyruvate-protein phosphotransferase,contig_1,0,Small replicon (~0kb),1558298,1560025,-,cds,"SO:0001217, UniRef:UniRef50_P08839"
JKPB244,yfeC,Uncharacterized protein YfeC,contig_1,0,Small replicon (~0kb),1570833,1571186,-,cds,"SO:0001217, UniRef:UniRef50_P0AD37"
JKPB244,,Ribosomal protein uL3 glutamine methyltransferase,contig_1,0,Small replicon (~0kb),1601084,1602088,+,cds,"SO:0001217, UniRef:UniRef50_Q0WDE1"
JKPB244,,[ribosomal protein uS5]-alanine N-acetyltransferase,contig_1,0,Small replicon (~0kb),1625865,1626392,-,cds,"SO:0001217, UniRef:UniRef50_A0A376FIH2"
JKPB244,,Phosphate acetyltransferase,contig_1,0,Small replicon (~0kb),1630712,1632859,-,cds,"SO:0001217, UniRef:UniRef50_P0A9M8"
JKPB244,,N-acetyltransferase domain-containing protein,contig_1,0,Small replicon (~0kb),1658668,1659129,+,cds,"SO:0001217, UniRef:UniRef50_A8ADW6"
JKPB244,,Ubiquinone biosynthesis O-methyltransferase,contig_1,0,Small replicon (~0kb),1685659,1686387,-,cds,"SO:0001217, UniRef:UniRef50_A8H499"
JKPB244,rcsD,Phosphotransferase RcsD,contig_1,0,Small replicon (~0kb),1692851,1695508,-,cds,"SO:0001217, UniRef:UniRef50_P39838"
JKPB244,mgtE,Magnesium transporter MgtE,contig_1,0,Small replicon (~0kb),1702220,1703656,+,cds,"SO:0001217, UniRef:UniRef50_A0A7V1BN86"
JKPB244,,Bcr/CflA family efflux transporter,contig_1,0,Small replicon (~0kb),1719008,1720204,+,cds,"SO:0001217, UniRef:UniRef50_A0A6G9IF80"
JKPB244,,Sugar efflux transporter B,contig_1,0,Small replicon (~0kb),1736562,1737743,-,cds,"SO:0001217, UniRef:UniRef50_P33027"
JKPB244,,Vancomycin high temperature exclusion protein,contig_1,0,Small replicon (~0kb),1758902,1759618,-,cds,"SO:0001217, UniRef:UniRef50_A0A151UJ27"
JKPB244,nodT,"RND efflux system, outer membrane lipoprotein, NodT family",contig_1,0,Small replicon (~0kb),1769683,1771122,+,cds,"SO:0001217, UniRef:UniRef50_E3GC31"
JKPB244,,N-acetyltransferase family protein,contig_1,0,Small replicon (~0kb),1773829,1774383,-,cds,"SO:0001217, UniRef:UniRef50_A0A9J6QCI7"
JKPB244,,GCN5-related N-acetyltransferase,contig_1,0,Small replicon (~0kb),1789231,1789695,-,cds,"SO:0001217, UniRef:UniRef50_A0A0H3G3B5"
JKPB244,adeQ,Adenine permease AdeQ,contig_1,0,Small replicon (~0kb),1791057,1792400,-,cds,"SO:0001217, UniRef:UniRef50_A0A0G4JEJ9"
JKPB244,mdtD,Putative multidrug resistance protein MdtD,contig_1,0,Small replicon (~0kb),1821893,1823308,-,cds,"SO:0001217, UniRef:UniRef50_B7L9V0"
JKPB244,,Acriflavin resistance protein,contig_1,0,Small replicon (~0kb),1823310,1826387,-,cds,"SO:0001217, UniRef:UniRef50_A0AAI9L9I1"
JKPB244,mdtB,Multidrug resistance protein MdtB,contig_1,0,Small replicon (~0kb),1826388,1829510,-,cds,"SO:0001217, UniRef:UniRef50_Q8ZCW0"
JKPB244,mdtA,Multidrug resistance protein MdtA,contig_1,0,Small replicon (~0kb),1829510,1830748,-,cds,"SO:0001217, UniRef:UniRef50_A0A0J8VMS4"
JKPB244,,Acid-resistance membrane protein,contig_1,0,Small replicon (~0kb),1919881,1920456,+,cds,"SO:0001217, UniRef:UniRef50_A0A8B4TY10"
JKPB244,,Phosphotransferase enzyme family protein,contig_1,0,Small replicon (~0kb),1922661,1923764,-,cds,"SO:0001217, UniRef:UniRef50_A0A1H6CQH5"
JKPB244,fyuA,yersiniabactin receptor FyuA,contig_1,0,Small replicon (~0kb),1953098,1955119,-,cds,"SO:0001217, UniRef:UniRef50_P46359, VFDB:VFC0272, VFDB:VFG044333"
JKPB244,ybtE,yersiniabactin biosynthesis salycil-AMP ligase YbtE,contig_1,0,Small replicon (~0kb),1955250,1956827,-,cds,"BlastRules:WP_001088826, BlastRules:WP_011168856, EC:2.7.7.-, SO:0001217, UniRef:UniRef50_A0AAW4DZA7"
JKPB244,ybtT,yersiniabactin biosynthesis thioesterase YbtT,contig_1,0,Small replicon (~0kb),1956831,1957634,-,cds,"BlastRules:WP_002212799, SO:0001217, UniRef:UniRef50_A0A061LQM0"
JKPB244,ybtU,yersiniabactin biosynthetic protein YbtU,contig_1,0,Small replicon (~0kb),1957631,1958731,-,cds,"SO:0001217, UniRef:UniRef50_W9BA38, VFDB:VFC0272, VFDB:VFG000361"
JKPB244,irp1,yersiniabactin biosynthetic protein Irp1,contig_1,0,Small replicon (~0kb),1958728,1968219,-,cds,"SO:0001217, UniRef:UniRef50_A0A7U1FGE5, VFDB:VFC0272, VFDB:VFG000362"
JKPB244,irp2,yersiniabactin non-ribosomal peptide synthetase HMWP2,contig_1,0,Small replicon (~0kb),1968307,1974414,-,cds,"BlastRules:WP_011171836, SO:0001217, UniRef:UniRef50_P48633"
JKPB244,ybtA,yersiniabactin transcriptional regulator YbtA,contig_1,0,Small replicon (~0kb),1974605,1975564,-,cds,"BlastRules:WP_000140406, SO:0001217, UniRef:UniRef50_C4N4L3"
JKPB244,ybtP,yersiniabactin ABC transporter ATP-binding/permease protein YbtP,contig_1,0,Small replicon (~0kb),1975821,1977533,+,cds,"BlastRules:WP_000098391, NCBIProtein:CAA21388.1, SO:0001217, UniRef:UniRef50_A0A377ZFN4"
JKPB244,ybtQ,yersiniabactin ABC transporter ATP-binding/permease protein YbtQ,contig_1,0,Small replicon (~0kb),1977520,1979322,+,cds,"BlastRules:WP_002212761, NCBIProtein:AAC69584.1, SO:0001217, UniRef:UniRef50_A0A2D0AQJ5"
JKPB244,ybtX,putative signal transducer,contig_1,0,Small replicon (~0kb),1979315,1980595,+,cds,"SO:0001217, UniRef:UniRef50_A0A0B0VZW8, VFDB:VFC0272, VFDB:VFG000367"
JKPB244,ybtS,salicylate synthase Irp9,contig_1,0,Small replicon (~0kb),1980623,1981927,+,cds,"SO:0001217, UniRef:UniRef50_Q9X9I8, VFDB:VFC0272, VFDB:VFG000368"
JKPB244,,Multidrug-efflux transporter,contig_1,0,Small replicon (~0kb),1983813,1985249,+,cds,"SO:0001217, UniRef:UniRef50_A0A486S2R5"
JKPB244,pmrD,Signal transduction protein PmrD domain-containing protein,contig_1,0,Small replicon (~0kb),1987199,1987444,-,cds,"SO:0001217, UniRef:UniRef50_A0A7H5AAG0"
JKPB244,tetR,TetR family transcriptional regulator,contig_1,0,Small replicon (~0kb),1991277,1991981,-,cds,"SO:0001217, UniRef:UniRef50_A0A080T0H7"
JKPB244,phoE,Outer membrane porin PhoE,contig_1,0,Small replicon (~0kb),2000615,2001760,-,cds,"SO:0001217, UniRef:UniRef50_A7MEM9"
JKPB244,,Cytosine-specific methyltransferase,contig_1,0,Small replicon (~0kb),2003407,2004807,+,cds,"SO:0001217, UniRef:UniRef50_A0A014NA45"
JKPB244,,tRNA U34 carboxymethyltransferase,contig_1,0,Small replicon (~0kb),2044913,2045917,-,cds,"SO:0001217, UniRef:UniRef50_B8F571"
JKPB244,,Copper resistance protein C,contig_1,0,Small replicon (~0kb),2071927,2072301,+,cds,"SO:0001217, UniRef:UniRef50_A0A4U6LYK4"
JKPB244,,Copper resistance protein D,contig_1,0,Small replicon (~0kb),2072305,2073174,+,cds,"SO:0001217, UniRef:UniRef50_A0A379TCN1"
JKPB244,,Ribosomal RNA small subunit methyltransferase F,contig_1,0,Small replicon (~0kb),2076832,2078220,-,cds,"SO:0001217, UniRef:UniRef50_P76273"
JKPB244,,23S rRNA methyltransferase A,contig_1,0,Small replicon (~0kb),2093191,2093985,+,cds,"SO:0001217, UniRef:UniRef50_A0A9P1PVD6"
JKPB244,mntP,Putative manganese efflux pump MntP,contig_1,0,Small replicon (~0kb),2093989,2094555,-,cds,"SO:0001217, UniRef:UniRef50_Q3BMJ1"
JKPB244,tehB,Putative S-adenosyl-L-methionine-dependent methyltransferase TehB,contig_1,0,Small replicon (~0kb),2116182,2116526,-,cds,"SO:0001217, UniRef:UniRef50_A0A1T5HY09"
JKPB244,,Formate acetyltransferase 1,contig_1,0,Small replicon (~0kb),2143827,2146121,+,cds,"SO:0001217, UniRef:UniRef50_P09373"
